id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,item_group_id,color,size,custom_label_0
"ip11-64-a80","iPhone 11 64GB Usado A+","iPhone 11 64GB · Usado A+ · Batería ≥80%. Garantía QRTech.","in stock","used","260.00 USD","https://qrtech.com.ar/productos?sku=ip11","https://qrtech.com.ar/img/productos/11.png","","Apple","ip11","","64GB","≥80%"
"ip11-64-a90","iPhone 11 64GB Usado A+","iPhone 11 64GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","270.00 USD","https://qrtech.com.ar/productos?sku=ip11","https://qrtech.com.ar/img/productos/11.png","","Apple","ip11","","64GB","≥90%"
"ip11-64-a100","iPhone 11 64GB Usado A+","iPhone 11 64GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","280.00 USD","https://qrtech.com.ar/productos?sku=ip11","https://qrtech.com.ar/img/productos/11.png","","Apple","ip11","","64GB","100%"
"ip11-128-a85","iPhone 11 128GB Usado A+","iPhone 11 128GB · Usado A+ · Batería ≥85%. Garantía QRTech.","in stock","used","280.00 USD","https://qrtech.com.ar/productos?sku=ip11","https://qrtech.com.ar/img/productos/11.png","","Apple","ip11","","128GB","≥85%"
"ip11-128-a90","iPhone 11 128GB Usado A+","iPhone 11 128GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","290.00 USD","https://qrtech.com.ar/productos?sku=ip11","https://qrtech.com.ar/img/productos/11.png","","Apple","ip11","","128GB","≥90%"
"ip11-128-a100","iPhone 11 128GB Usado A+","iPhone 11 128GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","300.00 USD","https://qrtech.com.ar/productos?sku=ip11","https://qrtech.com.ar/img/productos/11.png","","Apple","ip11","","128GB","100%"
"ip11p-64-a80","iPhone 11 Pro 64GB Usado A+","iPhone 11 Pro 64GB · Usado A+ · Batería ≥80%. Garantía QRTech.","in stock","used","290.00 USD","https://qrtech.com.ar/productos?sku=ip11p","https://qrtech.com.ar/img/productos/11p.png","","Apple","ip11p","","64GB","≥80%"
"ip11p-64-a90","iPhone 11 Pro 64GB Usado A+","iPhone 11 Pro 64GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","300.00 USD","https://qrtech.com.ar/productos?sku=ip11p","https://qrtech.com.ar/img/productos/11p.png","","Apple","ip11p","","64GB","≥90%"
"ip11p-64-a100","iPhone 11 Pro 64GB Usado A+","iPhone 11 Pro 64GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","310.00 USD","https://qrtech.com.ar/productos?sku=ip11p","https://qrtech.com.ar/img/productos/11p.png","","Apple","ip11p","","64GB","100%"
"ip11p-128-a80","iPhone 11 Pro 128GB Usado A+","iPhone 11 Pro 128GB · Usado A+ · Batería ≥85%. Garantía QRTech.","in stock","used","300.00 USD","https://qrtech.com.ar/productos?sku=ip11p","https://qrtech.com.ar/img/productos/11p.png","","Apple","ip11p","","128GB","≥85%"
"ip11p-128-a90","iPhone 11 Pro 128GB Usado A+","iPhone 11 Pro 128GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","310.00 USD","https://qrtech.com.ar/productos?sku=ip11p","https://qrtech.com.ar/img/productos/11p.png","","Apple","ip11p","","128GB","≥90%"
"ip11p-128-a100","iPhone 11 Pro 128GB Usado A+","iPhone 11 Pro 128GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","320.00 USD","https://qrtech.com.ar/productos?sku=ip11p","https://qrtech.com.ar/img/productos/11p.png","","Apple","ip11p","","128GB","100%"
"ip11pm-64-a80","iPhone 11 Pro Max 64GB Usado A+","iPhone 11 Pro Max 64GB · Usado A+ · Batería ≥80%. Garantía QRTech.","in stock","used","300.00 USD","https://qrtech.com.ar/productos?sku=ip11pm","https://qrtech.com.ar/img/productos/11pm.png","","Apple","ip11pm","","64GB","≥80%"
"ip11pm-64-a90","iPhone 11 Pro Max 64GB Usado A+","iPhone 11 Pro Max 64GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","310.00 USD","https://qrtech.com.ar/productos?sku=ip11pm","https://qrtech.com.ar/img/productos/11pm.png","","Apple","ip11pm","","64GB","≥90%"
"ip11pm-64-a100","iPhone 11 Pro Max 64GB Usado A+","iPhone 11 Pro Max 64GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","320.00 USD","https://qrtech.com.ar/productos?sku=ip11pm","https://qrtech.com.ar/img/productos/11pm.png","","Apple","ip11pm","","64GB","100%"
"ip11pm-128-a80","iPhone 11 Pro Max 128GB Usado A+","iPhone 11 Pro Max 128GB · Usado A+ · Batería ≥85%. Garantía QRTech.","in stock","used","310.00 USD","https://qrtech.com.ar/productos?sku=ip11pm","https://qrtech.com.ar/img/productos/11pm.png","","Apple","ip11pm","","128GB","≥85%"
"ip11pm-128-a90","iPhone 11 Pro Max 128GB Usado A+","iPhone 11 Pro Max 128GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","320.00 USD","https://qrtech.com.ar/productos?sku=ip11pm","https://qrtech.com.ar/img/productos/11pm.png","","Apple","ip11pm","","128GB","≥90%"
"ip11pm-128-a100","iPhone 11 Pro Max 128GB Usado A+","iPhone 11 Pro Max 128GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","330.00 USD","https://qrtech.com.ar/productos?sku=ip11pm","https://qrtech.com.ar/img/productos/11pm.png","","Apple","ip11pm","","128GB","100%"
"ip12-64-a80","iPhone 12 64GB Usado A+","iPhone 12 64GB · Usado A+ · Batería ≥80%. Garantía QRTech.","in stock","used","300.00 USD","https://qrtech.com.ar/productos?sku=ip12","https://qrtech.com.ar/img/productos/12.png","","Apple","ip12","","64GB","≥80%"
"ip12-64-a90","iPhone 12 64GB Usado A+","iPhone 12 64GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","310.00 USD","https://qrtech.com.ar/productos?sku=ip12","https://qrtech.com.ar/img/productos/12.png","","Apple","ip12","","64GB","≥90%"
"ip12-64-a100","iPhone 12 64GB Usado A+","iPhone 12 64GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","320.00 USD","https://qrtech.com.ar/productos?sku=ip12","https://qrtech.com.ar/img/productos/12.png","","Apple","ip12","","64GB","100%"
"ip12-128-a80","iPhone 12 128GB Usado A+","iPhone 12 128GB · Usado A+ · Batería ≥85%. Garantía QRTech.","in stock","used","310.00 USD","https://qrtech.com.ar/productos?sku=ip12","https://qrtech.com.ar/img/productos/12.png","","Apple","ip12","","128GB","≥85%"
"ip12-128-a90","iPhone 12 128GB Usado A+","iPhone 12 128GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","320.00 USD","https://qrtech.com.ar/productos?sku=ip12","https://qrtech.com.ar/img/productos/12.png","","Apple","ip12","","128GB","≥90%"
"ip12-128-a100","iPhone 12 128GB Usado A+","iPhone 12 128GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","330.00 USD","https://qrtech.com.ar/productos?sku=ip12","https://qrtech.com.ar/img/productos/12.png","","Apple","ip12","","128GB","100%"
"ip12p-128-a80","iPhone 12 Pro 128GB Usado A+","iPhone 12 Pro 128GB · Usado A+ · Batería ≥85%. Garantía QRTech.","in stock","used","370.00 USD","https://qrtech.com.ar/productos?sku=ip12p","https://qrtech.com.ar/img/productos/12p.png","","Apple","ip12p","","128GB","≥85%"
"ip12p-128-a90","iPhone 12 Pro 128GB Usado A+","iPhone 12 Pro 128GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","380.00 USD","https://qrtech.com.ar/productos?sku=ip12p","https://qrtech.com.ar/img/productos/12p.png","","Apple","ip12p","","128GB","≥90%"
"ip12p-128-a100","iPhone 12 Pro 128GB Usado A+","iPhone 12 Pro 128GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","400.00 USD","https://qrtech.com.ar/productos?sku=ip12p","https://qrtech.com.ar/img/productos/12p.png","","Apple","ip12p","","128GB","100%"
"ip12pm-128-a80","iPhone 12 Pro Max 128GB Usado A+","iPhone 12 Pro Max 128GB · Usado A+ · Batería ≥85%. Garantía QRTech.","in stock","used","400.00 USD","https://qrtech.com.ar/productos?sku=ip12pm","https://qrtech.com.ar/img/productos/12pm.png","","Apple","ip12pm","","128GB","≥85%"
"ip12pm-128-a90","iPhone 12 Pro Max 128GB Usado A+","iPhone 12 Pro Max 128GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","410.00 USD","https://qrtech.com.ar/productos?sku=ip12pm","https://qrtech.com.ar/img/productos/12pm.png","","Apple","ip12pm","","128GB","≥90%"
"ip12pm-128-a100","iPhone 12 Pro Max 128GB Usado A+","iPhone 12 Pro Max 128GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","430.00 USD","https://qrtech.com.ar/productos?sku=ip12pm","https://qrtech.com.ar/img/productos/12pm.png","","Apple","ip12pm","","128GB","100%"
"ip13-128-a80","iPhone 13 128GB Usado A+","iPhone 13 128GB · Usado A+ · Batería ≥85%. Garantía QRTech.","in stock","used","400.00 USD","https://qrtech.com.ar/productos?sku=ip13","https://qrtech.com.ar/img/productos/13.png","","Apple","ip13","","128GB","≥85%"
"ip13-128-a90","iPhone 13 128GB Usado A+","iPhone 13 128GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","410.00 USD","https://qrtech.com.ar/productos?sku=ip13","https://qrtech.com.ar/img/productos/13.png","","Apple","ip13","","128GB","≥90%"
"ip13-128-a100","iPhone 13 128GB Usado A+","iPhone 13 128GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","430.00 USD","https://qrtech.com.ar/productos?sku=ip13","https://qrtech.com.ar/img/productos/13.png","","Apple","ip13","","128GB","100%"
"ip13-128-sellado","iPhone 13 128GB Sellado","iPhone 13 128GB · Sellado · Batería sellado. Garantía QRTech.","in stock","new","570.00 USD","https://qrtech.com.ar/productos?sku=ip13","https://qrtech.com.ar/img/productos/13.png","","Apple","ip13","","128GB","sellado"
"ip13p-128-a80","iPhone 13 Pro 128GB Usado A+","iPhone 13 Pro 128GB · Usado A+ · Batería ≥85%. Garantía QRTech.","in stock","used","500.00 USD","https://qrtech.com.ar/productos?sku=ip13p","https://qrtech.com.ar/img/productos/13p.png","","Apple","ip13p","","128GB","≥85%"
"ip13p-128-a90","iPhone 13 Pro 128GB Usado A+","iPhone 13 Pro 128GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","510.00 USD","https://qrtech.com.ar/productos?sku=ip13p","https://qrtech.com.ar/img/productos/13p.png","","Apple","ip13p","","128GB","≥90%"
"ip13p-128-a100","iPhone 13 Pro 128GB Usado A+","iPhone 13 Pro 128GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","540.00 USD","https://qrtech.com.ar/productos?sku=ip13p","https://qrtech.com.ar/img/productos/13p.png","","Apple","ip13p","","128GB","100%"
"ip13pm-128-a80","iPhone 13 Pro Max 128GB Usado A+","iPhone 13 Pro Max 128GB · Usado A+ · Batería ≥85%. Garantía QRTech.","in stock","used","560.00 USD","https://qrtech.com.ar/productos?sku=ip13pm","https://qrtech.com.ar/img/productos/13pm.png","","Apple","ip13pm","","128GB","≥85%"
"ip13pm-128-a90","iPhone 13 Pro Max 128GB Usado A+","iPhone 13 Pro Max 128GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","570.00 USD","https://qrtech.com.ar/productos?sku=ip13pm","https://qrtech.com.ar/img/productos/13pm.png","","Apple","ip13pm","","128GB","≥90%"
"ip13pm-128-a100","iPhone 13 Pro Max 128GB Usado A+","iPhone 13 Pro Max 128GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","590.00 USD","https://qrtech.com.ar/productos?sku=ip13pm","https://qrtech.com.ar/img/productos/13pm.png","","Apple","ip13pm","","128GB","100%"
"ip14-128-a80","iPhone 14 128GB Usado A+","iPhone 14 128GB · Usado A+ · Batería ≥85%. Garantía QRTech.","in stock","used","460.00 USD","https://qrtech.com.ar/productos?sku=ip14","https://qrtech.com.ar/img/productos/14.png","","Apple","ip14","","128GB","≥85%"
"ip14-128-a90","iPhone 14 128GB Usado A+","iPhone 14 128GB · Usado A+ · Batería ≥90%. Garantía QRTech.","in stock","used","470.00 USD","https://qrtech.com.ar/productos?sku=ip14","https://qrtech.com.ar/img/productos/14.png","","Apple","ip14","","128GB","≥90%"
"ip14-128-a100","iPhone 14 128GB Usado A+","iPhone 14 128GB · Usado A+ · Batería 100%. Garantía QRTech.","in stock","used","490.00 USD","https://qrtech.com.ar/productos?sku=ip14","https://qrtech.com.ar/img/productos/14.png","","Apple","ip14","","128GB","100%"
